,track_id,track_name,danceability,loudness,acousticness,liveness,valence,tempo
89,6Qc90FMwNUjJ2M893RdYUg,BROAD DAY (feat. Future),0.677,-6.223,0.0538,0.167,0.164,189.976
90,5ZDIwpR2JMwuRM8xumtmxn,Down With Me,0.712,-5.332,0.112,0.21,0.471,114.929
91,5ZJGv7aGdIr9IGpxzSG18T,Everybody (feat. Lil Uzi Vert),0.736,-5.546,0.027,0.23,0.388,137.947
92,4M68xjcc42oxyphhzpOWXS,Great Gatsby,0.67,-9.12,0.0382,0.414,0.16,156.937
93,53QRPT9Z42ALxGL1YGT9x1,Lemme See,0.94,-5.806,0.00226,0.0898,0.712,95.976
94,6N7TGPYfGP2oxiy9Cpaz9G,Presha (with Lil Wayne),0.886,-7.806,0.00789,0.133,0.614,75.499
95,42TFM7pxF8mRUJTWJdGMeS,350,0.775,-7.942,0.151,0.193,0.532,114.6
96,7GkZ2cx7i74zu1piQy3i6T,Baller,0.915,-8.581,0.0137,0.18,0.154,140.964
97,4qmG24ebshLXtKu9HIShBP,Lace It (with Eminem & benny blanco),0.773,-7.138,0.194,0.22,0.305,160.101
98,6Hn4RAq9DerZedTzgyCgvC,Beep Beep (feat. 50 Cent),0.722,-7.06,0.0675,0.143,0.361,83.088
99,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,0.868,-8.603,0.269,0.0901,0.732,99.968
100,4LPIwB4gtPzuB0YKHjOldj,Guitar In My Room (with Lil Durk & Kid Cudi),0.298,-10.539,0.133,0.0984,0.202,82.16
101,5owS9iWWGd6mDlFjUFzBsw,Creek Will Rise,0.423,-2.97,0.0362,0.243,0.892,169.975
102,6UoKX6uLJwhsnyTp5k5StP,The Painter,0.512,-5.766,0.0415,0.107,0.261,97.981
103,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),0.429,-7.746,0.554,0.102,0.155,77.639
104,6d3QUBsiAw3aZI6F2mMhzk,Wildflowers and Wild Horses (Single Version),0.442,-5.787,0.347,0.128,0.34,117.379
105,1cF5gDFBHOprIKwzFORNjH,Ain't Doin' Jack,0.586,-4.105,0.0171,0.108,0.665,129.938
106,2gT2iF1YK5r54A2PDEXVv8,Pretty Little Poison,0.518,-4.839,0.0258,0.156,0.216,111.865
107,7MSWxMumjz6lHj7oRApNbg,White Horse,0.353,-11.066,0.0016,0.109,0.224,145.225
108,1UlwFwRrb4Kth3TwnjBAJV,Country Boy's Dream Girl,0.591,-4.573,0.234,0.097,0.46,139.991
109,0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,0.708,-4.872,0.0189,0.129,0.379,116.975
110,5XT8mK0cvCkx6Sx7Z7igmI,Burns Like Her,0.621,-4.819,0.00796,0.114,0.304,104.018
111,73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),0.498,-5.006,0.123,0.119,0.489,147.984
112,7BH39iq4k2366YgJgbf8b4,I Will (When You Do),0.441,-5.307,0.14,0.068,0.348,156.147
113,0GdZqKPBrvkpo7mk2OyHtf,Back Then Right Now,0.659,-4.416,0.0164,0.134,0.761,126.998
114,1pmBuw9a3r467tlzVZj0P4,Bigger Mistakes,0.604,-4.036,0.0272,0.263,0.74,104.942
