artist_ids,artists,count,href,genre,image,popularity
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,6,https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4,['pop'],https://i.scdn.co/image/ab6761610000e5ebeccc1cde8e9fdcf1c9289897,76
6LuN9FCkKOj5PcnpouEgny,Khalid,6,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']",https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf,82
3AQRLZ9PuTAozP28Skbq8V,The Script,6,https://open.spotify.com/artist/3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'pop']",https://i.scdn.co/image/ab6761610000e5eb17287dc33dcde4a69fd71b59,73
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,6,https://open.spotify.com/artist/1moxjboGR7GNWYIMWsRjgG,"['baroque pop', 'electropop', 'modern rock', 'uk alternative pop']",https://i.scdn.co/image/ab6761610000e5ebe3c37f869b830d1cf1ec829a,76
5SuRAj1A9FEHj5NxS86YAm,Shafqat Amanat Ali,6,https://open.spotify.com/artist/5SuRAj1A9FEHj5NxS86YAm,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",https://i.scdn.co/image/ab6761610000e5eb3a597aea2383628fa4993388,64
5NXHXK6hOCotCF8lvGM1I0,Porcupine Tree,6,https://open.spotify.com/artist/5NXHXK6hOCotCF8lvGM1I0,"['progressive metal', 'progressive rock']",https://i.scdn.co/image/ab6761610000e5ebc4f72407be5d96db73982400,54
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,6,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,['filmi'],https://i.scdn.co/image/ab6761610000e5eb3f27a828c24d73cf0427e2e7,74
1ciT67XXpG2HOVsLQjKdv6,Ankur Tewari,6,https://open.spotify.com/artist/1ciT67XXpG2HOVsLQjKdv6,"['indian indie', 'indian rock', 'indian singer-songwriter']",https://i.scdn.co/image/ab6761610000e5eb9634e68f7dcece892b577f17,52
56oDRnqbIiwx4mymNEv7dS,Lizzo,6,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",https://i.scdn.co/image/ab6761610000e5eb0d66b3670294bf801847dae2,71
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,6,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,"['art pop', 'pop']",https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,90
