track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
7BBADmsaVUwLYLxTnXBWZU,Illusion,"ONEDUO, Jackie Legere, ",Illusion,0.607,0.567,0.0626,0.143,2.64e-05,0.0493,0.384,164.935,8.0,1.0,hodgepodge.
2PgMUAn2bBpm8gz6yAXvVL,Kills You Slowly,"The Chainsmokers, ",World War Joy,0.696,0.439,0.055,0.0636,0.0,0.127,0.229,149.923,1.0,0.0,hodgepodge.
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya, ",Don't Let Me Down,0.532,0.869,0.172,0.157,0.00508,0.136,0.422,159.803,11.0,1.0,hodgepodge.
3IsCTVfdFpZyKNkH6mFGlf,Supernatural,"APEK, Stassi, ",Supernatural,0.48,0.705,0.0567,0.0733,0.0,0.317,0.325,95.952,10.0,1.0,hodgepodge.
2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,"The Chainsmokers, ",World War Joy...Push My Luck,0.584,0.643,0.0395,0.288,0.0,0.186,0.53,90.036,2.0,1.0,hodgepodge.
6LjnaLN4Enc5RyLdNwWBTf,Still in Love - Gibson/Saavn Session,"Nikhil D'Souza, ",Still in Love (Gibson/Saavn Session),0.444,0.216,0.039,0.847,3.14e-05,0.123,0.168,80.478,9.0,1.0,hodgepodge.
7vyQwt3xnZccpLDtj0X45b,Chariot,"Jacob Lee, ",Chariot,0.505,0.548,0.0314,0.105,0.0,0.0982,0.298,66.604,8.0,1.0,hodgepodge.
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,"Lana Del Rey, ",Young And Beautiful,0.324,0.416,0.0368,0.262,3.69e-05,0.11,0.151,113.986,11.0,0.0,hodgepodge.
52iLDrSoRtf9lcgFuLVfqE,Older,"Sasha Alex Sloan, ",Older,0.681,0.292,0.0483,0.743,0.0,0.0974,0.162,64.002,11.0,1.0,hodgepodge.
2fbJ5Msx8KoDKpyufH5YsU,I'll Never Love Again - Extended Version,"Lady Gaga, ",A Star Is Born Soundtrack,0.406,0.359,0.0293,0.685,3.67e-06,0.122,0.202,109.246,7.0,1.0,hodgepodge.
6yaHCAtl9kA0K3FMumR2ph,Heart Like Yours,"Willamette Stone, ",If I Stay: Original Motion Picture Soundtrack: Deluxe Version,0.497,0.259,0.033,0.879,0.0,0.102,0.338,140.117,7.0,1.0,hodgepodge.
2cbic3TiUENlJX91y67ARR,Skinny Love,"Bon Iver, ","For Emma, Forever Ago",0.593,0.263,0.0567,0.844,5.36e-06,0.127,0.109,76.379,4.0,0.0,hodgepodge.
23TL1H9YRub4jpMs552fak,Hocus Pocus,"Clark Beckham, ",Year One,0.616,0.368,0.0424,0.856,0.0,0.243,0.37,85.041,6.0,0.0,hodgepodge.
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,"Cigarettes After Sex, ",Cigarettes After Sex,0.37,0.467,0.0273,0.0205,0.572,0.109,0.182,94.485,5.0,1.0,hodgepodge.
6yaHCAtl9kA0K3FMumR2ph,Heart Like Yours,"Willamette Stone, ",If I Stay: Original Motion Picture Soundtrack: Deluxe Version,,,,,,,,,,,hodgepodge.
4fbvXwMTXPWaFyaMWUm9CR,Holocene,"Bon Iver, ",Bon Iver,0.374,0.304,0.0302,0.943,0.298,0.126,0.147,147.969,1.0,1.0,hodgepodge.
4jR3wsCozVviDetIeB9OP6,"This Guy's In Love with You (From ""Sea of Love"")","Bobby Vinton, ",Collections,0.535,0.253,0.0322,0.74,1.25e-06,0.137,0.328,101.704,1.0,1.0,hodgepodge.
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,"Elvis Presley, ",Blue Hawaii,0.396,0.293,0.0275,0.941,0.000196,0.105,0.343,100.307,2.0,1.0,hodgepodge.
0wBS0cVvsderMUaLLTbGv6,Hey Jude - Remastered,"The Beatles, ",The Beatles 1967 - 1970 (Remastered),0.402,0.552,0.0258,0.028,1.36e-05,0.0929,0.668,145.164,10.0,1.0,hodgepodge.
7f9I5WdyXm5q1XqnSYgQZb,Brianstorm,"Arctic Monkeys, ",Favourite Worst Nightmare,0.42,0.974,0.191,8.15e-05,0.00155,0.0871,0.463,165.182,1.0,1.0,hodgepodge.
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,"Savage Garden, ",Savage Garden,0.555,0.698,0.0287,0.403,0.0,0.0851,0.816,168.12,0.0,1.0,hodgepodge.
71iSmEeF0qRVyULABxP75P,Shake It Out,"Florence + The Machine, ",Ceremonials (Original Deluxe Version),0.519,0.799,0.0371,0.00878,0.0,0.107,0.226,107.489,10.0,1.0,hodgepodge.
4CxFN5zON70B3VOPBYbd6P,you were good to me,"Jeremy Zucker, Chelsea Cutler, ",brent,0.561,0.0848,0.0404,0.913,2.62e-05,0.112,0.206,102.128,2.0,1.0,hodgepodge.
244AvzGQ4Ksa5637JQu5Gy,You've Got The Love,"Florence + The Machine, ",Lungs (Deluxe Version),0.574,0.694,0.0327,0.00481,0.0,0.102,0.401,109.85,6.0,1.0,hodgepodge.
