track_id,track_name,artists,album,valence
4OQfIweaFWNTT5NkJ04txq,Titanium,"David Guetta, Sia",Now That's What I Call Music 2012-13,0.247
0WqqFajBwA3tpRZ66kRomu,Sleepover,Hayley Kiyoko,Expectations,0.547
4EpZ4eYuZOwPSSwyqpdHnJ,Sunflower,Rex Orange County,Sunflower,0.567
3aLWuWKHaTV4Ok7LKvXRYn,Let Me Hold You (Turn Me On),"Cheat Codes, Dante Klein",Let Me Hold You (Turn Me On),0.267
3BYyBzKGPOCHeginhe0F77,Never Be Alone,Shawn Mendes,Handwritten,0.276
3u5bTqHMM1P34ZkbwzdckV,The Story Never Ends,Lauv,I met you when I was 18. (the playlist),0.351
2s5HFb7W5zXq6i7HXHxvcB,Grind Me Down,Lilianna Wilde,Bad for You,0.421
4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),0.508
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,Narrated For You,0.483
5hwh37sTi84MVhCBMWzhGE,Superficial Love,Ruth B.,The Intro,0.488
5CRVwXGikmqzoRO6q7FeAg,If I Could Fly,One Direction,Made In The A.M. (Deluxe Edition),0.307
75ls0gurX68lUmMjE7QcsE,all the kids are depressed,Jeremy Zucker,glisten,0.707
5Ihd9HrPvOADyVoonH9ZjB,Un-Break My Heart,Toni Braxton,Secrets,0.112
05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,I Won't Give Up,0.142
4DRBaZ760gyk7LWnaJFqsJ,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),0.866
4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,News Of The World (2011 Remaster),0.475
1wKWgSrVgaSyxJARfld0Yu,Closing Time,Semisonic,20 #1’s: Alternative Rock,0.251
0MKqeOVdZcUFGJvWpGCKbG,Come Together - Remastered,The Beatles,Abbey Road (Remastered),0.187
